Name,Created,Dificulty,Tags,Tecnologies,Type,URL
Scrum Master,21 de febrero de 2025 17:11,Intermediate,"Agile, Gestión de Proyecto",,Book,https://www.scrummanager.com/files/scrum_master.pdf
Historias de Usuario,21 de febrero de 2025 17:11,Intermediate,"Agile, Gestión de Proyecto",,Book,https://www.scrummanager.com/files/scrum_manager_historias_usuario.pdf
