Name,Created,Dificulty,Tags,Tecnologies,Type,URL
Javascript para principiantes,21 de febrero de 2025 17:11,Beginner,Javascript,Javascript,YouTube Course,https://www.youtube.com/watch?v=dwi_tF05Kt0&list=PLg9145ptuAijmLpVEIJxVl5r9mCDjzIRU
Curso completo de Javascript,21 de febrero de 2025 17:11,Beginner,Javascript,Javascript,Video Course,https://aprendejavascript.org/
Javascript completo,21 de febrero de 2025 17:11,Beginner,Javascript,Javascript,YouTube Course,https://www.youtube.com/watch?v=sYqn4lhcMZE&list=PLPl81lqbj-4Iy7yuRrVLn4V6isOVpvlpl
Eloquent Javascript,21 de febrero de 2025 17:11,Advanced,Javascript,Javascript,Book,https://eloquentjavascript.net/
Intro DOM,21 de febrero de 2025 17:11,Beginner,Javascript,Javascript,YouTube Course,https://www.youtube.com/watch?v=4ILE0y58J00
DOM,21 de febrero de 2025 17:11,Intermediate,"DOM, Javascript",Javascript,YouTube Course,https://www.youtube.com/watch?v=11MEBKljhFc
,21 de febrero de 2025 17:11,Beginner,Javascript,Javascript,YouTube Course,https://www.youtube.com/watch?v=r7R2khOB3n8
