Name,Created,Dificulty,Tags,Tecnologies,Type,URL
Curso Aprende Java,21 de febrero de 2025 17:11,Beginner,"Back, Java",Java,YouTube Course,https://www.youtube.com/watch?v=b0NHh8RNWK4
JAVA para PRINCIPIANTES,21 de febrero de 2025 17:11,Beginner,"Back, Java",Java,YouTube Course,https://www.youtube.com/watch?v=6q7wHs6cH6Y&list=PLQxX2eiEaqbwxYrMUJ6gRz82mLzUeeJy9
,21 de febrero de 2025 17:11,Beginner,"Java, OOP",Java,YouTube Course,https://www.youtube.com/watch?v=tcza2FEz4u4&list=PLQxX2eiEaqbwNP20GMMCjRslRq2lOLWlg
4 Principios de la Programación Orientada a Objeto,21 de febrero de 2025 17:11,Beginner,OOP,,YouTube Course,https://www.youtube.com/watch?v=tTPeP5dVuA4
Principios SOLID,21 de febrero de 2025 17:11,Intermediate,SOLID,,,https://www.youtube.com/watch?v=2X50sKeBAcQ
Patrón de Diseño DTO,21 de febrero de 2025 17:11,Beginner,Java,Java,YouTube Course,https://www.youtube.com/watch?v=6GWtSKQoliQ
